LIGA,#,FECHA,HASTA,COMPETENCIA,PRUEBA,CIUDAD,CATEGORIA
FUTBOL DE SALON,68,11/05/2022 12:00:00 AM,12/14/2022 12:00:00 AM,XXXIII NACIONAL MASCULINO SUB 17,SUB-17,LA PLATA HUILA,FUTBOL DE SALON
FUTBOL DE SALON,69,11/06/2022 12:00:00 AM,12/15/2022 12:00:00 AM,XXI NACIONAL FEMENINO MAYORES,MAYORES,CHAPARRAL TOLIMA,FUTBOL DE SALON
FUTBOL DE SALON,70,11/07/2022 12:00:00 AM,12/16/2022 12:00:00 AM,II NACIONAL MASCULINO SUB 21,SUB-21,GUADALAJARA DE BUGA VALLE DEL CAUCA,FUTBOL DE SALON
FUTBOL DE SALON,71,11/08/2022 12:00:00 AM,12/17/2022 12:00:00 AM,XV NACIONAL FEMENINO SUB 19,SUB-19,PUEBLO BELLO CESAR,FUTBOL DE SALON
TRIATLON,72,11/09/2022 12:00:00 AM,12/18/2022 12:00:00 AM,CHEQUEO NACIONAL DE MARCAS MINIMAS,"MENORES, JUNIOR Y ELITE",BARRANQUILLA,CHEQUEOS MARCAS MINIMAS
TRIATLON,73,11/10/2022 12:00:00 AM,12/19/2022 12:00:00 AM,1ª VALIDA COPA COLOMBIA DE TRIATLON,"INFANTILES,MENORES, JUNIOR, ELITE Y GRUPOS DE EDAD",PUERTO VELERO BARRANQUILLA,"AQUATLON,SPRINT ESTANDAR"
TRIATLON,74,11/11/2022 12:00:00 AM,12/20/2022 12:00:00 AM,CAMPEONATO NACIONAL INTERLIGAS SPRINT Y 4ª VALIDA COPA COLOMBIA DE TRIATLON,"INFANTILES,MENORES, JUNIOR, ELITE Y GRUPOS POR EDAD",CHINCHINA,AQUATLON Y SPRINT
TRIATLON,75,11/12/2022 12:00:00 AM,12/21/2022 12:00:00 AM,CHEQUEO MARCAS MINIMAS,"MENORES,JUNIOR Y ELITE",PALMIRA,CHEQUEO NACIONAL DE MARCAS MINIMAS
TRIATLON,76,11/13/2022 12:00:00 AM,12/22/2022 12:00:00 AM,5ª COPA COLOMBIA DE TRIATLON,"INFANTILES,MENORES, JUNIOR, ELITE Y GRUPOS POR EDAD",PALMIRA,"ACUATLON,SPRINT ESTANDAR Y PARATRIATLON"
TRIATLON,77,11/14/2022 12:00:00 AM,12/23/2022 12:00:00 AM,CAMPEONATO NACIONAL INTERLIGAS ENDURO Y 12ª COPA COLOMBIANA,"INFANTILES,MENORESJUNIOR ELITE Y GRUPOS POR EDAD",CHINCHINA,"ENDURO ACUATLON, SPRINT DISTANCIA MEDIA Y CAMP NAL PARATLIATLON"
TEJO,78,11/15/2022 12:00:00 AM,12/24/2022 12:00:00 AM,CAMPEONATO NACIONAL JUVENIL DE TEJO MASCULINO,JUVENIL MASCULINO,ARMENIA,TEJO
TEJO,79,11/16/2022 12:00:00 AM,12/25/2022 12:00:00 AM,XXVCAMPEONATO NACIONAL SUB 25MASCULINO Y XII CAMPEONATO NACIONAL SUB 25FEMENINO DE TEJO,SUB 25 MASCULINO Y FEMENINO,CUCUTA,TEJO
TEJO,80,11/17/2022 12:00:00 AM,12/26/2022 12:00:00 AM,XIVCAMPEONATO NACIONAL SENIOR MASTER MASCULINO DE TEJO,SENIOR MASTER MASCULINO,CUNDINAMARCA,TEJO
TEJO,81,11/18/2022 12:00:00 AM,12/27/2022 12:00:00 AM,LXII CAMPEONATO NACIONAL DE MAYORES MASCULINO Y XXVII CAMPEONATO NACIONAL DE MAYORES FEMENINO,MAYORES MASCULINO Y FEMENINO,MONTERIA,TEJO
TEJO,82,11/19/2022 12:00:00 AM,12/28/2022 12:00:00 AM,I CLASIFICATORIO MASCULINO A LOS XXII JUEGOS DEPORTIVOIS NACIONALES 2023,MAYORES MASCULINO Y FEMENINO,BOGOTA,TEJO
TEJO,83,11/20/2022 12:00:00 AM,12/29/2022 12:00:00 AM,I CLASIFICATORIO FEMENINI A LOS XXII JUEGOS DEPORTIVOS NACIONALES 2023,MAYORES MASCULINO Y FEMENINO,NEIVA,TEJO
AJEDREZ,84,11/21/2022 12:00:00 AM,12/30/2022 12:00:00 AM,NACIONAL SUB 18,MAYORES MASCULINO Y FEMENINO,ANTIOQUIA,AJEDREZ
AJEDREZ,85,11/22/2022 12:00:00 AM,12/31/2022 12:00:00 AM,ITT TOLIMA DESTINO DEPORTE II,MAYORES MASCULINO Y FEMENINO,TOLIMA,AJEDREZ
AJEDREZ,86,11/23/2022 12:00:00 AM,01/01/2023 12:00:00 AM,NACIONAL DE MAYORES,MAYORES MASCULINO Y FEMENINO,BOYACA,AJEDREZ
AJEDREZ,87,11/24/2022 12:00:00 AM,01/02/2023 12:00:00 AM,NACIONAL ACTIVO BLITZ DE MAYORES,MAYORES MASCULINO Y FEMENINO,RISARALDA,AJEDREZ
AJEDREZ,88,11/25/2022 12:00:00 AM,01/03/2023 12:00:00 AM,ITT DE LAS AMERICAS,MAYORES MASCULINO Y FEMENINO,TOLIMA,AJEDREZ
AJEDREZ,89,11/26/2022 12:00:00 AM,01/04/2023 12:00:00 AM,PRE JUEGOS POR EQUIPOS 2,MAYORES MASCULINO Y FEMENINO,SANTA MARTA,AJEDREZ
BALONCESTO,90,11/27/2022 12:00:00 AM,01/05/2023 12:00:00 AM,PRIMER CLASIFICATORIO JUEGOS NACIONALES,FEMENINA ABIERTA,SANTA MARTA,BALONCESTO
BALONCESTO,91,11/28/2022 12:00:00 AM,01/06/2023 12:00:00 AM,PRIMER CLASIFICATORIO JUEGOS NACIONALES,MASCULINO ABIERTO,SANTA MARTA,BALONCESTO
PARA ATLETISMO,92,11/29/2022 12:00:00 AM,01/07/2023 12:00:00 AM,"CAMPEONATO NACIONAL DE CLUBES Y MUNICIPIOS Y CLASIFICATORIO A JUEGOS PARAPANAMERICANOS JUVENILES, BOGOTA 2022",U14  U17 -U20,IBAGUE,PARA ATLETISMO
PARA ATLETISMO,93,11/30/2022 12:00:00 AM,01/08/2023 12:00:00 AM,1 CLASIFICATORIO A JUEGOS PARANACIONALES EJE CAFETERO 2023 Y ABIERTO INTERNACIONAL DE PARAATLETISMO,U17  U20 Y MAYORES,IBAGUE,PARA ATLETISMO
PARA ATLETISMO,94,12/01/2022 12:00:00 AM,01/09/2023 12:00:00 AM,"2 CLASIFICATORIO A JUEGOS PARANACIONALES EJE
CAFETERO 2023 Y 1° CLASIFICATORIO AL MUNDIAL PARIS 2023","U17, U20 Y MAYORES",CALI,PARA ATLETISMO
DEPORTES PARA SORDOS,95,12/02/2022 12:00:00 AM,01/10/2023 12:00:00 AM,"PRIMER PREJUEGOCLASIFICATORIO A JUEGOS
PARANCIONALES 2022","U17, U20 Y MAYORES",POR DEFINIR IAGUE O CALI,"AJEDREZ,CICLISMO Y FUTBOL SALA"
DEPORTES PARA SORDOS,96,12/03/2022 12:00:00 AM,01/11/2023 12:00:00 AM,"SEGUNDO PREJUEGO CLASIFICATORIO A JUEGOS
PARANCIONALES 2023","U17, U20 Y MAYORES",CALI,"AJEDREZ,CICLISMO Y FUTBOL SALA"
DEPORTES PARA SORDOS,97,12/04/2022 12:00:00 AM,01/12/2023 12:00:00 AM,"JUEGOS SORDOLIMPICOS DE
VERANO CAXIAS BRASIL","U17, U20 Y MAYORES",BRASIL,"AJEDREZ,CICLISMO Y FUTBOL SALA"
TENIS DE CAMPO EN SILLA DE RUEDA,98,12/05/2022 12:00:00 AM,01/13/2023 12:00:00 AM,I  INTERLIGAS DE TENIS DE CAMPO CLASIFICATORIO JUEGOS PARA NACIONALES 2023,TODAS,MEDELLIN,TENIS DE CAMPO EN SILLA DE RUEDAS
TENIS DE CAMPO EN SILLA DE RUEDA,99,12/06/2022 12:00:00 AM,01/14/2023 12:00:00 AM,II  INTERLIGAS DE TENIS DE CAMPO CLASIFICATORIO JUEGOS PARA NACIONALES 2023,TODAS,CUCUTA,TENIS DE CAMPO EN SILLA DE RUEDAS
TENIS DE MESA ADAPTADO,100,12/07/2022 12:00:00 AM,01/15/2023 12:00:00 AM,I Campeonato Pre-JJPPNN 2023,TODAS,CUCUTA,TENIS DE MESA
TENIS DE MESA ADAPTADO,101,12/08/2022 12:00:00 AM,01/16/2023 12:00:00 AM,II Campeonato Pre-JJPPNN 2023,TODAS,RISARALDA,TENIS DE MESA
TENIS DE MESA ADAPTADO,102,12/09/2022 12:00:00 AM,01/17/2023 12:00:00 AM,Campeonato Nacional Hopes Esperanzas Nacionales y Festival U8 -U9,TODAS,TOLIMA,TENIS DE MESA
LIVITOL,103,12/10/2022 12:00:00 AM,01/18/2023 12:00:00 AM,EVENTO INTERCLUBES INVITACIONAL PREPARATORIO,TODAS,ZIPAQUIRA,AJEDREZ Y FUTBOL 5
LIVITOL,104,12/11/2022 12:00:00 AM,01/19/2023 12:00:00 AM,PRIMER EVENTO CLASIFICATORIO A LOS XXI JUEGOS NACIONALES Y VI JUEGOS PARANACIONALES EJE CAFETERON 2023,TODAS,SIBATE CUNDINAMARCA,FUTBOL 5
LIVITOL,105,12/12/2022 12:00:00 AM,01/20/2023 12:00:00 AM,EVENTO INTERCLUBES INVITACIONAL PREPARATORIO,TODAS,POPAYAN,AJEDREZ
LIVITOL,106,12/13/2022 12:00:00 AM,01/21/2023 12:00:00 AM,SEGUNDO EVENTO CLASIFICATORIO A LOS XXI JUEGOS NACIONALES Y VI JUEGOS PARANACIONALES EJE CAFETERON 2023,TODAS,ARMENIA,AJEDREZ Y FUTBOL 5
DISCAPACIDAD INTELECTUAL,107,12/14/2022 12:00:00 AM,01/22/2023 12:00:00 AM,ABIERTO DE ATLETISMO INTELECTUAL CLASIFICATORIO A JUEGOS PARA NACIONALES EJE CAFETERO2023,MAYORES,BOGOTA,ATLETISMO
DISCAPACIDAD INTELECTUAL,108,12/15/2022 12:00:00 AM,01/23/2023 12:00:00 AM,ABIERTO DE NATACION INTELECTUAL CLASIFICATORIO A JUEGOS PARA NACIONALES EJE CAFETERO2023,MAYORES,BOGOTA,NATACION
DISCAPACIDAD INTELECTUAL,109,12/16/2022 12:00:00 AM,01/24/2023 12:00:00 AM,ABIERTO DE BALONCESTO INTELECTUAL CLASIFICATORIO A JUEGOS PARA NACIONALES EJE CAFETERO2023,MAYORES,BOGOTA,BALONCESTO
DISCAPACIDAD INTELECTUAL,110,12/17/2022 12:00:00 AM,01/25/2023 12:00:00 AM,ABIERTO DE FUTBOL SALA INTELECTUAL CLASIFICATORIO A JUEGOS PARA NACIONALES EJE CAFETERO2023,MAYORES,BOGOTA,FUTBOL SALA
PARA NATACION,111,12/18/2022 12:00:00 AM,01/26/2023 12:00:00 AM,POR DEFINIR CALENDARIO,MAYORES,BOGOTA,FUTBOL SALA
PARAPOWERLIFTING,112,12/19/2022 12:00:00 AM,01/27/2023 12:00:00 AM,POR DEFINIR CALENDARIO,MAYORES,BOGOTA,FUTBOL SALA
