LIGA,#,FECHA,HASTA,COMPETENCIA,PRUEBA,CIUDAD,CATEGORIA
ULTIMATE,142,01/18/2023 12:00:00 AM,02/26/2023 12:00:00 AM,Nacional de Ligas Mayores FECODV,"Open
Femenino
Mixto",CHINCHINA,ULTIMATE
ULTIMATE,143,01/19/2023 12:00:00 AM,02/27/2023 12:00:00 AM,Nacional de Ligas Playa Mayores FECODV,"Open
Femenino
Mixto",CHINCHINA,ULTIMATE PLAYA
FUTBOL SALA,144,01/20/2023 12:00:00 AM,02/28/2023 12:00:00 AM,I CLASIFICATORIO JUEGOS NACIONALES FEMENINOS,SUB 20,CHINCHINA,FUTBOL SALA
FUTBOL SALA,145,01/21/2023 12:00:00 AM,03/01/2023 12:00:00 AM,I CLASIFICATORIO JUEGOS NACIONALES MASCULINO,SUB 20,CHINCHINA,FUTBOL SALA
FUTBOL SALA,146,01/22/2023 12:00:00 AM,03/02/2023 12:00:00 AM,INTERLIGAS MASCULINO,SUB 20,Ibagué Tolima,FUTBOL SALA
FUTBOL SALA,147,01/23/2023 12:00:00 AM,03/03/2023 12:00:00 AM,INTERLIGAS FEMENINO,SUB 20,Ibagué Tolima,FUTBOL SALA
FUTBOL PLAYA,148,01/24/2023 12:00:00 AM,03/04/2023 12:00:00 AM,PRE COPA LIBERTADORES,ABIERTA,Ibagué Tolima,FUTBOL PLAYA
,149,01/25/2023 12:00:00 AM,03/05/2023 12:00:00 AM,NACIONAL INTERLIGAS,ABIERTA,Ibagué Tolima,FUTBOL PLAYA
WUSHU,150,01/26/2023 12:00:00 AM,03/06/2023 12:00:00 AM,XXXVI Torneo Nacional Federativo de Wushu,"Infantil, Junior, Juvenil, Mayores, Sénior",Ibagué Tolima,WUSHU
SAVATE,151,01/27/2023 12:00:00 AM,03/07/2023 12:00:00 AM,CAMPEONATO PANAMERICANO Y ABIERTO INTERNACIONAL DE SAVATE,ABIERTO,BOGOTA,SAVATE
SOFBOL,152,01/28/2023 12:00:00 AM,03/08/2023 12:00:00 AM,CAMPEONATO NACIONAL,SIN DEFINIR,BOGOTA,SOFBOL
ATLETISMO,153,01/29/2023 12:00:00 AM,03/09/2023 12:00:00 AM,CAPEONATO NACIONAL DE CLUBES Y MUNICIPIOS,U16 ULTIMO AÑO U18 U20,CALI,ATLETISMO
ATLETISMO,154,01/30/2023 12:00:00 AM,03/10/2023 12:00:00 AM,CAMPEONATO NACIONAL DE CLUBES Y MUNICIPIOS,MAYORES,BOGOTA,ATLETISMO
ATLETISMO,155,01/31/2023 12:00:00 AM,03/11/2023 12:00:00 AM,CAMPEONATO NACIONAL DE SALTOS Y PRUEBAS COMBINADAS,U18 U20 Y MAYORES,IBAGUE,ATLETISMO
ATLETISMO,156,02/01/2023 12:00:00 AM,03/12/2023 12:00:00 AM,CAMPEONATO NACIONAL U20,U20,VALLEDUPAR,ATLETISMO
ATLETISMO,157,02/02/2023 12:00:00 AM,03/13/2023 12:00:00 AM,CAMPEONATO NACIONAL MAYORES,MAYORES,CALI,ATLETISMO
ATLETISMO,158,02/03/2023 12:00:00 AM,03/14/2023 12:00:00 AM,CAMPEONATO NACIONAL U18,U18,BARRANQUILLA,ATLETISMO
ATLETISMO,159,02/04/2023 12:00:00 AM,03/15/2023 12:00:00 AM,CAMPEONATO NACIONA U23,U23,SIN DEFINIR,ATLETISMO
ATLETISMO,160,02/05/2023 12:00:00 AM,03/16/2023 12:00:00 AM,CAMPEONATO NACIONAL U14 U16,U14 U16,MONTERIA,ATLETISMO
ATLETISMO,161,02/06/2023 12:00:00 AM,03/17/2023 12:00:00 AM,CAMPEONATO NACIONAL DE CROSS COUNTRY,U18 U20 Y MAYORES,CALI,ATLETISMO
PATINAJE,162,02/07/2023 12:00:00 AM,03/18/2023 12:00:00 AM,QUINTA VALIDA NAC INTER CLUBES MAYORES,MAYORES,CALI,PATINAJE
